rel_enh,backend,preset,rel_prep,sr_in,sr_out,dur_in_s,dur_out_s,peak_in_dbfs,peak_out_dbfs,delta_peak_db,rms_in_dbfs,rms_out_dbfs,delta_rms_db,clip_in_pct,clip_out_pct,delta_clip_pct,crest_in,crest_out,delta_crest,flat_in,flat_out,delta_flat,centroid_in_hz,centroid_out_hz,delta_centroid_hz,lufs_in,lufs_out,delta_lufs,srmr_in,srmr_out,delta_srmr,error,vad_speech_ratio_in,vad_speech_ratio_out,delta_vad_speech_ratio,vad_seg_count_in,vad_seg_count_out,delta_vad_seg_count,vad_seg_mean_dur_in_s,vad_seg_mean_dur_out_s,delta_vad_seg_mean_dur_s,speech_level_in_dbfs,speech_level_out_dbfs,delta_speech_level_db,nonspeech_level_in_dbfs,nonspeech_level_out_dbfs,delta_nonspeech_level_db,speech_nonspeech_snr_in_db,speech_nonspeech_snr_out_db,delta_speech_nonspeech_snr_db,emb_temporal_smoothness_in,emb_temporal_smoothness_out,delta_emb_temporal_smoothness,num_clusters_in,num_clusters_out,silhouette_in,silhouette_out,db_index_in,db_index_out,calinski_harabasz_in,calinski_harabasz_out,between_cluster_min_cos_in,between_cluster_min_cos_out,cluster_size_cv_in,cluster_size_cv_out,rtf_out,dnsmos_sig_out,dnsmos_bak_out,dnsmos_ovrl_out
enh/base/medium/data/raw/2025/09/08/26edbef0a328e3db3a12ecc3df4a6e3ff02fb471aeaadcf56a73dca729b819ef__250714_1632.wav,base,medium,prep/data/raw/2025/09/08/26edbef0a328e3db3a12ecc3df4a6e3ff02fb471aeaadcf56a73dca729b819ef__250714_1632.wav,44100,44100,32.653061,32.653061,-1.0,-1.0,0.0,-21.788,-22.962,-1.174,0.0,0.0,0.0,10.949825,12.534866,1.585041,0.000517,0.016933,0.016416,1002.642,1413.451,410.809,-21.16,-22.053,-0.893,9.329477,11.255805,1.926328,,,,,,,,,,,,,,,,,,,,0.744575,0.703189,-0.041386,7,11,0.118856,0.152166,1.547728,1.454969,3.181493,2.763213,0.351053,0.346815,1.027402,0.9788,,,,
enh/base/medium/data/raw/2025/09/08/2976162caa47ccbf60474e2881d5b637ecc0ff1f16a2464e813139a3f0402f95__250728_0930.wav,base,medium,prep/data/raw/2025/09/08/2976162caa47ccbf60474e2881d5b637ecc0ff1f16a2464e813139a3f0402f95__250728_0930.wav,44100,44100,97.697959,97.697959,-1.0,-1.0,0.0,-18.75,-18.959,-0.209,0.0,0.0,0.0,7.717357,7.906189,0.188832,0.001681,0.011415,0.009734,1016.537,982.093,-34.444,-17.718,-17.839,-0.121,10.815422,11.223224,0.407802,,,,,,,,,,,,,,,,,,,,0.728851,0.702417,-0.026434,22,25,0.164533,0.133911,1.503208,1.575621,4.723695,4.89244,0.269689,0.069252,1.223653,0.945736,,,,
enh/base/medium/data/raw/2025/09/08/29e7742142413441df77a420567b653c481f96e2a7c799b7764cf34da62a3a2f__250822_1320.wav,base,medium,prep/data/raw/2025/09/08/29e7742142413441df77a420567b653c481f96e2a7c799b7764cf34da62a3a2f__250822_1320.wav,44100,44100,48.979592,48.979592,-1.572,-1.0,0.572,-26.84,-28.396,-1.556,0.0,0.0,0.0,18.340227,23.431876,5.091649,0.000281,0.099973,0.099692,799.412,2008.73,1209.318,-26.155,-20.113,6.042,2.802369,5.086503,2.284134,,,,,,,,,,,,,,,,,,,,0.812012,0.866367,0.054355,12,9,0.244428,0.490899,1.100868,1.063657,4.780637,8.33801,0.159441,0.271121,1.826455,1.800201,,,,
enh/base/medium/data/raw/2025/09/08/2b433ba18758689f072fb4243cafcee5c6e631f8a057c64476aefc0acecf0f8a__250805_1406.wav,base,medium,prep/data/raw/2025/09/08/2b433ba18758689f072fb4243cafcee5c6e631f8a057c64476aefc0acecf0f8a__250805_1406.wav,44100,44100,101.694694,101.694694,-1.0,-1.0,0.0,-19.264,-19.739,-0.475,0.0,0.0,0.0,8.188074,8.648948,0.460874,0.000307,0.009921,0.009614,985.436,1045.924,60.488,-18.269,-18.52,-0.251,10.564892,11.866612,1.30172,,,,,,,,,,,,,,,,,,,,0.736035,0.704348,-0.031687,35,38,0.167612,0.165928,1.338004,1.292378,3.921265,4.067314,0.060428,0.0705,1.1538,1.416024,,,,
enh/base/medium/data/raw/2025/09/08/2e0e1fdf187de03e3aabefd202f827dc878723373a15104cf2c707fa16faf3f7__250805_1407.wav,base,medium,prep/data/raw/2025/09/08/2e0e1fdf187de03e3aabefd202f827dc878723373a15104cf2c707fa16faf3f7__250805_1407.wav,44100,44100,46.497959,46.497959,-1.0,-1.0,0.0,-19.602,-19.98,-0.378,0.0,0.0,0.0,8.513239,8.891677,0.378438,0.000382,0.012556,0.012174,1019.974,1159.776,139.802,-18.349,-18.495,-0.146,11.530163,11.873167,0.343004,,,,,,,,,,,,,,,,,,,,0.748857,0.689763,-0.059094,13,18,0.223796,0.185156,1.330683,1.184032,4.495184,3.887297,0.191403,0.148001,0.989388,0.979796,,,,
enh/base/medium/data/raw/2025/09/08/3093e92265c9c5f99aa937e8e172f229d645c855a9308077d196ff6df6d086ea__250820_1539.wav,base,medium,prep/data/raw/2025/09/08/3093e92265c9c5f99aa937e8e172f229d645c855a9308077d196ff6df6d086ea__250820_1539.wav,44100,44100,15.647347,15.647347,-1.0,-1.343,-0.343,-21.392,-22.048,-0.656,0.0,0.0,0.0,10.460891,10.845481,0.38459,0.000593,0.010185,0.009592,785.115,750.185,-34.93,-20.913,-21.195,-0.282,9.448599,10.937652,1.489053,,,,,,,,,,,,,,,,,,,,0.783428,0.727306,-0.056122,6,9,0.251956,0.237092,1.303914,1.000401,2.609744,2.551472,0.415855,0.238071,0.559481,0.566859,,,,
enh/base/medium/data/raw/2025/09/08/3397998d845e67f7f99bc80c67a2868f0a78380a57680a92061633d93f7f4882__250728_0937.wav,base,medium,prep/data/raw/2025/09/08/3397998d845e67f7f99bc80c67a2868f0a78380a57680a92061633d93f7f4882__250728_0937.wav,44100,44100,41.248163,41.248163,-1.0,-1.0,0.0,-19.172,-19.189,-0.017,0.0,0.0,0.0,8.101681,8.117937,0.016256,0.001674,0.013073,0.011399,1018.466,1044.95,26.484,-17.889,-17.743,0.146,11.07151,11.823404,0.751894,,,,,,,,,,,,,,,,,,,,0.728394,0.692028,-0.036366,13,13,0.184615,0.193956,1.362382,1.459462,3.393364,3.865961,0.276116,0.165404,1.256099,0.772434,,,,
enh/base/medium/data/raw/2025/09/08/38a64b4c6678ed9752dcb13ddced294d1e4c7a76628d604dbee194e3efb40e29__250728_0906.wav,base,medium,prep/data/raw/2025/09/08/38a64b4c6678ed9752dcb13ddced294d1e4c7a76628d604dbee194e3efb40e29__250728_0906.wav,44100,44100,120.500816,117.470839,-1.0,-1.0,0.0,-20.496,-20.01,0.486,0.0,0.0,0.0,9.435686,8.92329,-0.512396,0.001107,0.01208,0.010973,937.971,1032.018,94.047,-19.207,-18.73,0.477,10.676842,11.424775,0.747933,,,,,,,,,,,,,,,,,,,,0.721822,0.699962,-0.02186,25,29,0.102139,0.120695,1.678594,1.609718,4.6559,4.722893,0.189731,0.191512,1.361951,1.237432,,,,
enh/base/medium/data/raw/2025/09/08/3a4024ddabde86625bde8f22a7edd29412602a5767ef7f57bc9ba28a48ba5059__250805_1411.wav,base,medium,prep/data/raw/2025/09/08/3a4024ddabde86625bde8f22a7edd29412602a5767ef7f57bc9ba28a48ba5059__250805_1411.wav,44100,44100,104.083265,104.083265,-1.0,-1.0,0.0,-21.289,-20.84,0.449,0.0,0.0,0.0,10.337975,9.81773,-0.520245,0.00068,0.012173,0.011493,1017.041,975.22,-41.821,-19.924,-19.471,0.453,10.060174,10.955518,0.895344,,,,,,,,,,,,,,,,,,,,0.720758,0.684858,-0.0359,31,41,0.157198,0.161088,1.371519,1.300172,4.149796,3.89769,0.202291,0.042949,1.274554,1.294587,,,,
enh/base/medium/data/raw/2025/09/08/40723dc623cfd3d4a9963cb1819a647591d9fdfc86f88867774fce4acb956e2e__250728_0940.wav,base,medium,prep/data/raw/2025/09/08/40723dc623cfd3d4a9963cb1819a647591d9fdfc86f88867774fce4acb956e2e__250728_0940.wav,44100,44100,89.26898,89.26898,-1.161,-1.0,0.161,-19.75,-20.264,-0.514,0.0,0.0,0.0,8.501114,9.187237,0.686123,0.001171,0.015798,0.014627,964.243,1077.622,113.379,-18.586,-18.872,-0.286,10.789139,11.308718,0.519579,,,,,,,,,,,,,,,,,,,,0.73477,0.68149,-0.05328,17,19,0.132504,0.083406,1.789342,1.681991,4.242385,4.546189,0.299484,0.068945,1.209877,1.154721,,,,
