rel_enh,backend,preset,rel_prep,sr_in,sr_out,dur_in_s,dur_out_s,peak_in_dbfs,peak_out_dbfs,delta_peak_db,rms_in_dbfs,rms_out_dbfs,delta_rms_db,clip_in_pct,clip_out_pct,delta_clip_pct,crest_in,crest_out,delta_crest,flat_in,flat_out,delta_flat,centroid_in_hz,centroid_out_hz,delta_centroid_hz,lufs_in,lufs_out,delta_lufs,srmr_in,srmr_out,delta_srmr,error,vad_speech_ratio_in,vad_speech_ratio_out,delta_vad_speech_ratio,vad_seg_count_in,vad_seg_count_out,delta_vad_seg_count,vad_seg_mean_dur_in_s,vad_seg_mean_dur_out_s,delta_vad_seg_mean_dur_s,speech_level_in_dbfs,speech_level_out_dbfs,delta_speech_level_db,nonspeech_level_in_dbfs,nonspeech_level_out_dbfs,delta_nonspeech_level_db,speech_nonspeech_snr_in_db,speech_nonspeech_snr_out_db,delta_speech_nonspeech_snr_db,emb_temporal_smoothness_in,emb_temporal_smoothness_out,delta_emb_temporal_smoothness,num_clusters_in,num_clusters_out,silhouette_in,silhouette_out,db_index_in,db_index_out,calinski_harabasz_in,calinski_harabasz_out,between_cluster_min_cos_in,between_cluster_min_cos_out,cluster_size_cv_in,cluster_size_cv_out,rtf_out,dnsmos_sig_out,dnsmos_bak_out,dnsmos_ovrl_out
enh/deepfilternet/medium/data/raw/2025/09/08/c3a3d60ba26fb94257a6f975143b6877602ca8a73186b4c2eada7301c86b4dd9__250820_2002.wav,deepfilternet,medium,prep/data/raw/2025/09/08/c3a3d60ba26fb94257a6f975143b6877602ca8a73186b4c2eada7301c86b4dd9__250820_2002.wav,44100,44100,91.846531,91.846553,-1.0,-1.231,-0.231,-22.181,-22.316,-0.135,0.0,0.0,0.0,11.456484,11.331326,-0.125158,0.001459,0.004621,0.003162,1075.779,1006.449,-69.33,-20.855,-20.986,-0.131,9.48151,9.704951,0.223441,,,,,,,,,,,,,,,,,,,,0.651985,0.660503,0.008518,26,26,0.146604,0.103942,1.548572,1.559184,4.294674,4.005673,0.16965,0.082155,1.16012,0.936514,,,,
enh/deepfilternet/medium/data/raw/2025/09/08/c478f28aac2b1ddb78e25aa04116d86cdce826dd4c07b70e482313268f75fa6a__250714_1634_01.wav,deepfilternet,medium,prep/data/raw/2025/09/08/c478f28aac2b1ddb78e25aa04116d86cdce826dd4c07b70e482313268f75fa6a__250714_1634_01.wav,44100,44100,83.722449,83.722472,-1.0,-1.245,-0.245,-21.396,-21.675,-0.279,0.0,0.0,0.0,10.466828,10.507029,0.040201,0.000393,0.001332,0.000939,861.789,949.318,87.529,-20.893,-21.122,-0.229,7.504936,8.633193,1.128257,,,,,,,,,,,,,,,,,,,,0.727374,0.714218,-0.013156,30,31,0.162883,0.161556,1.487175,1.46813,3.334331,3.16932,0.254075,0.193468,1.00905,0.962607,,,,
enh/deepfilternet/medium/data/raw/2025/09/08/c68976736d2e914f499af55bdd1d3ccece530051225422c30ba9044585a1aff9__250820_1541.wav,deepfilternet,medium,prep/data/raw/2025/09/08/c68976736d2e914f499af55bdd1d3ccece530051225422c30ba9044585a1aff9__250820_1541.wav,44100,44100,20.662857,20.21288,-1.0,-1.238,-0.238,-23.068,-23.103,-0.035,0.0,0.0,0.0,12.688115,12.394897,-0.293218,0.000763,0.002327,0.001564,836.838,779.234,-57.604,-21.996,-22.135,-0.139,9.755614,10.730713,0.975099,,,,,,,,,,,,,,,,,,,,0.712386,0.683166,-0.02922,8,6,0.155031,0.3259,1.186094,1.323118,2.652352,3.816684,0.327433,0.430109,0.945247,0.738647,,,,
enh/deepfilternet/medium/data/raw/2025/09/08/c82dcad81d1d2580cb7c0bc3dced4fad16093990997dda3c443c76f9b231c19a__250714_1630.wav,deepfilternet,medium,prep/data/raw/2025/09/08/c82dcad81d1d2580cb7c0bc3dced4fad16093990997dda3c443c76f9b231c19a__250714_1630.wav,44100,44100,53.498776,53.498798,-1.0,-1.203,-0.203,-21.264,-21.495,-0.231,0.0,0.0,0.0,10.308824,10.342051,0.033227,0.000336,0.001249,0.000913,716.539,791.155,74.616,-20.535,-20.741,-0.206,9.226528,10.061667,0.835139,,,,,,,,,,,,,,,,,,,,0.733243,0.709598,-0.023645,20,20,0.126969,0.160031,1.336974,1.429162,2.741071,3.00831,0.298991,0.25699,1.581784,1.220572,,,,
enh/deepfilternet/medium/data/raw/2025/09/08/df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.wav,deepfilternet,medium,prep/data/raw/2025/09/08/df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.wav,44100,44100,9.221224,9.221247,-2.028,-2.209,-0.181,-25.26,-25.477,-0.217,0.0,0.0,0.0,14.507037,14.568046,0.061009,0.000841,0.003199,0.002358,869.251,969.814,100.563,-22.321,-22.411,-0.09,7.064571,8.225519,1.160948,,,,,,,,,,,,,,,,,,,,0.735375,0.706568,-0.028807,4,6,0.305466,0.290969,0.996864,0.831492,3.207397,3.009438,0.504495,0.28243,0.472377,0.374828,,,,
enh/deepfilternet/medium/data/raw/2025/09/08/e7cf2e4a32d69175644e4e4cc81312bed19479683da713810de4c746ef135373__250728_0917.wav,deepfilternet,medium,prep/data/raw/2025/09/08/e7cf2e4a32d69175644e4e4cc81312bed19479683da713810de4c746ef135373__250728_0917.wav,44100,44100,116.140408,116.140431,-1.0,-1.214,-0.214,-19.787,-19.92,-0.133,0.0,0.0,0.0,8.696729,8.61642,-0.080309,0.001223,0.004324,0.003101,923.398,1041.239,117.841,-18.526,-18.657,-0.131,11.571493,11.746064,0.174571,,,,,,,,,,,,,,,,,,,,0.711752,0.698545,-0.013207,27,21,0.13138,0.102924,1.552359,1.615814,4.459496,4.811544,0.260092,0.188302,1.241348,1.374602,,,,
enh/deepfilternet/medium/data/raw/2025/09/08/f7fd19d194b94c26b87b4d2dccbedd556d19897f4c87879df8a7070d790e4b2a__250820_1540_01.wav,deepfilternet,medium,prep/data/raw/2025/09/08/f7fd19d194b94c26b87b4d2dccbedd556d19897f4c87879df8a7070d790e4b2a__250820_1540_01.wav,44100,44100,27.807551,27.807574,-1.0,-1.257,-0.257,-21.424,-21.534,-0.11,0.0,0.0,0.0,10.500589,10.324977,-0.175612,0.000685,0.002434,0.001749,845.936,861.214,15.278,-20.605,-20.723,-0.118,9.905217,10.290907,0.38569,,,,,,,,,,,,,,,,,,,,0.708362,0.69225,-0.016112,7,10,0.229782,0.194848,1.537645,1.364173,4.368914,3.574496,0.286387,0.283883,0.61864,0.737028,,,,
enh/metricgan/medium/data/raw/2025/09/08/072ff6bbce11674348eacd0547b155a5699af26be74472800e3e79bf4c8708fe__250805_1410.wav,metricgan,medium,prep/data/raw/2025/09/08/072ff6bbce11674348eacd0547b155a5699af26be74472800e3e79bf4c8708fe__250805_1410.wav,44100,44100,70.50449,70.504512,-1.0,-0.995,0.005,-19.637,-19.146,0.491,0.0,0.0,0.0,8.547379,8.081998,-0.465381,0.000481,0.000361,-0.00012,998.823,903.93,-94.893,-18.113,-17.711,0.402,9.904367,10.257222,0.352855,,,,,,,,,,,,,,,,,,,,0.719326,0.707263,-0.012063,23,19,0.215442,0.187421,1.406038,1.363182,4.350191,4.792659,0.187722,0.163378,1.161091,1.232767,,,,
enh/metricgan/medium/data/raw/2025/09/08/115ad6db883bea6a592e6e16b74fd05f9761d2a212181ad691ea50e1da168896__250820_1542_01.wav,metricgan,medium,prep/data/raw/2025/09/08/115ad6db883bea6a592e6e16b74fd05f9761d2a212181ad691ea50e1da168896__250820_1542_01.wav,44100,44100,43.996735,43.996757,-1.0,-1.008,-0.008,-19.644,-19.463,0.181,0.0,0.0,0.0,8.554827,8.370498,-0.184329,0.000662,0.000411,-0.000251,848.894,786.916,-61.978,-18.6,-18.446,0.154,11.008009,12.016442,1.008433,,,,,,,,,,,,,,,,,,,,0.707408,0.70044,-0.006968,15,16,0.18926,0.112226,1.324843,1.239113,3.601258,3.563779,0.181648,0.199219,1.040278,1.031215,,,,
enh/metricgan/medium/data/raw/2025/09/08/12084eba1a10ed7454625cd2739c2de098eb3f9270247626e60000aa72c44a2c__250820_1933.wav,metricgan,medium,prep/data/raw/2025/09/08/12084eba1a10ed7454625cd2739c2de098eb3f9270247626e60000aa72c44a2c__250820_1933.wav,44100,44100,67.105306,67.105329,-1.0,-0.881,0.119,-20.954,-20.005,0.949,0.0,0.0,0.0,9.947254,9.040708,-0.906546,0.000432,0.000347,-8.5e-05,747.98,721.498,-26.482,-20.29,-19.284,1.006,10.389561,11.930882,1.541321,,,,,,,,,,,,,,,,,,,,0.740298,0.734025,-0.006273,14,13,0.11805,0.134349,1.486495,1.486403,3.581001,4.825712,0.200411,0.185079,1.554619,1.049646,,,,
enh/metricgan/medium/data/raw/2025/09/08/138515212831618930e641ff8b2effdc07997d1e4995e330554f72d0d472924b__250820_1548.wav,metricgan,medium,prep/data/raw/2025/09/08/138515212831618930e641ff8b2effdc07997d1e4995e330554f72d0d472924b__250820_1548.wav,44100,44100,91.187551,91.187574,-1.0,-0.961,0.039,-21.086,-21.692,-0.606,0.0,0.0,0.0,10.099336,10.878999,0.779663,0.000673,0.000537,-0.000136,877.916,829.698,-48.218,-19.926,-20.462,-0.536,11.165916,11.783513,0.617597,,,,,,,,,,,,,,,,,,,,0.703458,0.693503,-0.009955,29,19,0.096462,0.104899,1.454508,1.55087,3.620681,4.788208,0.26336,0.191715,1.262493,1.22003,,,,
enh/metricgan/medium/data/raw/2025/09/08/1469c6d5be16c5794f75f8b5ee50074b4d498b34ee9f4a15e52634057e13e3cb__250728_0911.wav,metricgan,medium,prep/data/raw/2025/09/08/1469c6d5be16c5794f75f8b5ee50074b4d498b34ee9f4a15e52634057e13e3cb__250728_0911.wav,44100,44100,163.16551,163.165578,-1.0,-1.009,-0.009,-19.565,-19.399,0.166,0.0,0.0,0.0,8.476537,8.30808,-0.168457,0.001631,0.000781,-0.00085,1022.761,884.816,-137.945,-18.111,-17.878,0.233,10.855817,11.058367,0.20255,,,,,,,,,,,,,,,,,,,,0.721381,0.681658,-0.039723,28,24,0.140983,0.094622,1.726065,1.706958,6.042894,7.105031,0.214146,0.257208,1.283201,1.332562,,,,
enh/metricgan/medium/data/raw/2025/09/08/16543449086b8cb78ed5bafebbec6a5cf54c0ce74d1702b6eb3be91fade9a8d5__250728_0924.wav,metricgan,medium,prep/data/raw/2025/09/08/16543449086b8cb78ed5bafebbec6a5cf54c0ce74d1702b6eb3be91fade9a8d5__250728_0924.wav,44100,44100,131.421837,131.421882,-1.0,-0.899,0.101,-20.582,-20.805,-0.223,0.0,0.0,0.0,9.529988,9.89273,0.362742,0.001449,0.000718,-0.000731,875.152,777.469,-97.683,-19.087,-19.181,-0.094,10.972291,11.219875,0.247584,,,,,,,,,,,,,,,,,,,,0.731271,0.677163,-0.054108,25,21,0.097557,0.101176,1.553029,1.476989,4.437809,5.598909,0.169231,0.202567,1.564697,1.730677,,,,
enh/metricgan/medium/data/raw/2025/09/08/166ef3101465e2cc2ba05cae7010abdfa2d78de9525bb90b17889011a8cb25d5__250728_0938.wav,metricgan,medium,prep/data/raw/2025/09/08/166ef3101465e2cc2ba05cae7010abdfa2d78de9525bb90b17889011a8cb25d5__250728_0938.wav,44100,44100,130.272653,130.272698,-1.0,-1.018,-0.018,-19.708,-19.609,0.099,0.0,0.0,0.0,8.617578,8.50332,-0.114258,0.001189,0.000585,-0.000604,871.95,780.309,-91.641,-18.584,-18.363,0.221,11.611293,11.827321,0.216028,,,,,,,,,,,,,,,,,,,,0.749649,0.728861,-0.020788,29,17,0.094292,0.106984,1.471606,1.638873,3.89324,6.17824,0.261239,0.206346,2.187577,1.785158,,,,
enh/metricgan/medium/data/raw/2025/09/08/190b5750faeba13be9107a4b7d790a839b2cf992fd2aeb01be729c76e81bbf57__250728_0919.wav,metricgan,medium,prep/data/raw/2025/09/08/190b5750faeba13be9107a4b7d790a839b2cf992fd2aeb01be729c76e81bbf57__250728_0919.wav,44100,44100,95.007347,94.317392,-1.0,-0.89,0.11,-19.53,-19.753,-0.223,0.0,0.0,0.0,8.442766,8.77329,0.330524,0.001885,0.000826,-0.001059,1111.084,940.54,-170.544,-18.262,-18.475,-0.213,10.898335,11.717357,0.819022,,,,,,,,,,,,,,,,,,,,0.750118,0.721926,-0.028192,17,17,0.139824,0.1193,1.643284,1.46063,5.056126,5.322002,0.267567,0.256509,1.424809,1.572146,,,,
enh/metricgan/medium/data/raw/2025/09/08/2279f1beb83a110a79e6272148ef3502ef281d8bed794468b2e2d64bff2d176b__250820_1541_01.wav,metricgan,medium,prep/data/raw/2025/09/08/2279f1beb83a110a79e6272148ef3502ef281d8bed794468b2e2d64bff2d176b__250820_1541_01.wav,44100,44100,10.848367,10.84839,-1.437,-1.015,0.422,-20.063,-19.485,0.578,0.0,0.0,0.0,8.536687,8.385183,-0.151504,0.000568,0.000393,-0.000175,758.919,718.541,-40.378,-19.889,-19.335,0.554,10.284198,11.471604,1.187406,,,,,,,,,,,,,,,,,,,,0.737194,0.748882,0.011688,5,4,0.127117,0.342433,1.028401,1.103633,1.800681,3.453021,0.408901,0.52283,0.89707,0.666173,,,,
enh/metricgan/medium/data/raw/2025/09/08/26b514c690c6e87e899308505339df2ae59dd593e0286d7b705fc9daca9767a5__250805_1413.wav,metricgan,medium,prep/data/raw/2025/09/08/26b514c690c6e87e899308505339df2ae59dd593e0286d7b705fc9daca9767a5__250805_1413.wav,44100,44100,238.550204,238.070272,-1.0,-0.825,0.175,-22.908,-21.695,1.213,0.0,0.0,0.0,12.456279,11.053431,-1.402848,0.003896,0.0018,-0.002096,1097.887,889.202,-208.685,-21.543,-20.172,1.371,9.775405,10.043601,0.268196,,,,,,,,,,,,,,,,,,,,0.720759,0.675708,-0.045051,40,32,0.075673,0.086011,1.645379,1.731297,5.202598,7.125423,0.105316,0.154978,1.924732,1.507074,,,,
enh/metricgan/medium/data/raw/2025/09/08/26edbef0a328e3db3a12ecc3df4a6e3ff02fb471aeaadcf56a73dca729b819ef__250714_1632.wav,metricgan,medium,prep/data/raw/2025/09/08/26edbef0a328e3db3a12ecc3df4a6e3ff02fb471aeaadcf56a73dca729b819ef__250714_1632.wav,44100,44100,32.653061,32.653084,-1.0,-0.895,0.105,-21.788,-21.261,0.527,0.0,0.0,0.0,10.949825,10.430031,-0.519794,0.000517,0.000218,-0.000299,1002.642,1016.585,13.943,-21.16,-20.665,0.495,9.329477,10.998321,1.668844,,,,,,,,,,,,,,,,,,,,0.744575,0.725505,-0.01907,7,9,0.118856,0.14515,1.547728,1.40182,3.181493,2.992156,0.351053,0.438029,1.027402,1.04491,,,,
enh/metricgan/medium/data/raw/2025/09/08/2976162caa47ccbf60474e2881d5b637ecc0ff1f16a2464e813139a3f0402f95__250728_0930.wav,metricgan,medium,prep/data/raw/2025/09/08/2976162caa47ccbf60474e2881d5b637ecc0ff1f16a2464e813139a3f0402f95__250728_0930.wav,44100,44100,97.697959,97.698005,-1.0,-0.942,0.058,-18.75,-18.4,0.35,0.0,0.0,0.0,7.717357,7.462937,-0.25442,0.001681,0.000845,-0.000836,1016.537,867.056,-149.481,-17.718,-17.348,0.37,10.815422,11.734376,0.918954,,,,,,,,,,,,,,,,,,,,0.728851,0.735522,0.006671,22,10,0.164533,0.162379,1.503208,2.12982,4.723695,9.061656,0.269689,0.3431,1.223653,0.900994,,,,
enh/metricgan/medium/data/raw/2025/09/08/29e7742142413441df77a420567b653c481f96e2a7c799b7764cf34da62a3a2f__250822_1320.wav,metricgan,medium,prep/data/raw/2025/09/08/29e7742142413441df77a420567b653c481f96e2a7c799b7764cf34da62a3a2f__250822_1320.wav,44100,44100,48.979592,48.979637,-1.572,-0.943,0.629,-26.84,-25.424,1.416,0.0,0.0,0.0,18.340227,16.749965,-1.590262,0.000281,0.00017,-0.000111,799.412,741.491,-57.921,-26.155,-19.652,6.503,2.802369,4.015624,1.213255,,,,,,,,,,,,,,,,,,,,0.812012,0.744192,-0.06782,12,16,0.244428,0.200575,1.100868,1.026142,4.780637,3.829715,0.159441,0.147593,1.826455,1.964529,,,,
enh/metricgan/medium/data/raw/2025/09/08/2b433ba18758689f072fb4243cafcee5c6e631f8a057c64476aefc0acecf0f8a__250805_1406.wav,metricgan,medium,prep/data/raw/2025/09/08/2b433ba18758689f072fb4243cafcee5c6e631f8a057c64476aefc0acecf0f8a__250805_1406.wav,44100,44100,101.694694,101.694762,-1.0,-0.989,0.011,-19.264,-19.196,0.068,0.0,0.0,0.0,8.188074,8.134451,-0.053623,0.000307,0.000207,-0.0001,985.436,891.203,-94.233,-18.269,-18.226,0.043,10.564892,11.268117,0.703225,,,,,,,,,,,,,,,,,,,,0.736035,0.759701,0.023666,35,24,0.167612,0.149276,1.338004,1.384122,3.921265,4.04485,0.060428,0.263551,1.1538,1.901038,,,,
enh/metricgan/medium/data/raw/2025/09/08/2e0e1fdf187de03e3aabefd202f827dc878723373a15104cf2c707fa16faf3f7__250805_1407.wav,metricgan,medium,prep/data/raw/2025/09/08/2e0e1fdf187de03e3aabefd202f827dc878723373a15104cf2c707fa16faf3f7__250805_1407.wav,44100,44100,46.497959,46.498005,-1.0,-0.981,0.019,-19.602,-19.945,-0.343,0.0,0.0,0.0,8.513239,8.875528,0.362289,0.000382,0.000273,-0.000109,1019.974,923.751,-96.223,-18.349,-18.731,-0.382,11.530163,11.242779,-0.287384,,,,,,,,,,,,,,,,,,,,0.748857,0.751407,0.00255,13,12,0.223796,0.186731,1.330683,1.236923,4.495184,4.053604,0.191403,0.150165,0.989388,1.344123,,,,
enh/metricgan/medium/data/raw/2025/09/08/3093e92265c9c5f99aa937e8e172f229d645c855a9308077d196ff6df6d086ea__250820_1539.wav,metricgan,medium,prep/data/raw/2025/09/08/3093e92265c9c5f99aa937e8e172f229d645c855a9308077d196ff6df6d086ea__250820_1539.wav,44100,44100,15.647347,15.647392,-1.0,-0.867,0.133,-21.392,-20.058,1.334,0.0,0.0,0.0,10.460891,9.110327,-1.350564,0.000593,0.000374,-0.000219,785.115,767.093,-18.022,-20.913,-19.415,1.498,9.448599,11.084161,1.635562,,,,,,,,,,,,,,,,,,,,0.783428,0.718151,-0.065277,6,5,0.251956,0.17617,1.303914,1.248705,2.609744,2.502966,0.415855,0.416432,0.559481,0.805108,,,,
enh/metricgan/medium/data/raw/2025/09/08/3397998d845e67f7f99bc80c67a2868f0a78380a57680a92061633d93f7f4882__250728_0937.wav,metricgan,medium,prep/data/raw/2025/09/08/3397998d845e67f7f99bc80c67a2868f0a78380a57680a92061633d93f7f4882__250728_0937.wav,44100,44100,41.248163,41.248209,-1.0,-0.939,0.061,-19.172,-19.38,-0.208,0.0,0.0,0.0,8.101681,8.356581,0.2549,0.001674,0.000767,-0.000907,1018.466,867.098,-151.368,-17.889,-18.043,-0.154,11.07151,12.0176,0.94609,,,,,,,,,,,,,,,,,,,,0.728394,0.683946,-0.044448,13,10,0.184615,0.211483,1.362382,1.449795,3.393364,3.701196,0.276116,0.334931,1.256099,1.14474,,,,
enh/metricgan/medium/data/raw/2025/09/08/38a64b4c6678ed9752dcb13ddced294d1e4c7a76628d604dbee194e3efb40e29__250728_0906.wav,metricgan,medium,prep/data/raw/2025/09/08/38a64b4c6678ed9752dcb13ddced294d1e4c7a76628d604dbee194e3efb40e29__250728_0906.wav,44100,44100,120.500816,117.470884,-1.0,-1.025,-0.025,-20.496,-20.222,0.274,0.0,0.0,0.0,9.435686,9.117422,-0.318264,0.001107,0.000563,-0.000544,937.971,838.1,-99.871,-19.207,-19.035,0.172,10.676842,11.461551,0.784709,,,,,,,,,,,,,,,,,,,,0.721822,0.705348,-0.016474,25,20,0.102139,0.093284,1.678594,1.659434,4.6559,5.720414,0.189731,0.20373,1.361951,1.350762,,,,
enh/metricgan/medium/data/raw/2025/09/08/3a4024ddabde86625bde8f22a7edd29412602a5767ef7f57bc9ba28a48ba5059__250805_1411.wav,metricgan,medium,prep/data/raw/2025/09/08/3a4024ddabde86625bde8f22a7edd29412602a5767ef7f57bc9ba28a48ba5059__250805_1411.wav,44100,44100,104.083265,104.083333,-1.0,-0.716,0.284,-21.289,-20.027,1.262,0.0,0.0,0.0,10.337975,9.237312,-1.100663,0.00068,0.000496,-0.000184,1017.041,910.848,-106.193,-19.924,-18.691,1.233,10.060174,10.492733,0.432559,,,,,,,,,,,,,,,,,,,,0.720758,0.724134,0.003376,31,23,0.157198,0.134322,1.371519,1.489287,4.149796,5.038526,0.202291,0.220911,1.274554,1.279976,,,,
enh/metricgan/medium/data/raw/2025/09/08/40723dc623cfd3d4a9963cb1819a647591d9fdfc86f88867774fce4acb956e2e__250728_0940.wav,metricgan,medium,prep/data/raw/2025/09/08/40723dc623cfd3d4a9963cb1819a647591d9fdfc86f88867774fce4acb956e2e__250728_0940.wav,44100,44100,89.26898,89.269002,-1.161,-0.79,0.371,-19.75,-19.81,-0.06,0.0,0.0,0.0,8.501114,8.932959,0.431845,0.001171,0.00062,-0.000551,964.243,862.921,-101.322,-18.586,-18.554,0.032,10.789139,11.186894,0.397755,,,,,,,,,,,,,,,,,,,,0.73477,0.685504,-0.049266,17,15,0.132504,0.097963,1.789342,1.59751,4.242385,4.63297,0.299484,0.239802,1.209877,1.650172,,,,
enh/metricgan/medium/data/raw/2025/09/08/428b1ef5c92dd7ecdc7c54107ecf2e046ef42251610c0ba12244412fa65b4205__250820_2009.wav,metricgan,medium,prep/data/raw/2025/09/08/428b1ef5c92dd7ecdc7c54107ecf2e046ef42251610c0ba12244412fa65b4205__250820_2009.wav,44100,44100,183.588367,183.58839,-1.0,-0.925,0.075,-24.242,-24.011,0.231,0.0,0.0,0.0,14.52373,14.265937,-0.257793,0.002219,0.001122,-0.001097,921.927,764.431,-157.496,-23.151,-22.753,0.398,7.774935,8.509037,0.734102,,,,,,,,,,,,,,,,,,,,0.688322,0.675027,-0.013295,39,27,0.101391,0.076025,1.593258,1.663747,4.505252,5.872284,0.254503,0.177524,1.632869,1.965175,,,,
enh/metricgan/medium/data/raw/2025/09/08/436386caea78dd252ff03f21db77ed3ad4d9264f6683832fd9b6a69480154deb__250820_1955.wav,metricgan,medium,prep/data/raw/2025/09/08/436386caea78dd252ff03f21db77ed3ad4d9264f6683832fd9b6a69480154deb__250820_1955.wav,44100,44100,133.203673,133.203696,-1.0,-0.739,0.261,-21.339,-21.87,-0.531,0.0,0.0,0.0,10.397746,11.390017,0.992271,0.001058,0.000808,-0.00025,906.459,848.437,-58.022,-20.229,-20.615,-0.386,9.589393,10.096116,0.506723,,,,,,,,,,,,,,,,,,,,0.696881,0.688686,-0.008195,32,21,0.100378,0.125903,1.591547,1.631644,4.362838,6.207099,0.115952,0.150046,1.374201,1.517099,,,,
enh/metricgan/medium/data/raw/2025/09/08/448e406125cff7c673d260f7a18982fb51445dd29b670a6c4e8c31e2e826ff45__250728_0942.wav,metricgan,medium,prep/data/raw/2025/09/08/448e406125cff7c673d260f7a18982fb51445dd29b670a6c4e8c31e2e826ff45__250728_0942.wav,44100,44100,75.441633,75.441701,-1.554,-0.914,0.64,-20.614,-19.867,0.747,0.0,0.0,0.0,8.97433,8.864037,-0.110293,0.001701,0.000783,-0.000918,987.347,839.497,-147.85,-19.217,-18.27,0.947,11.467299,11.951233,0.483934,,,,,,,,,,,,,,,,,,,,0.731256,0.690385,-0.040871,13,9,0.162629,0.139297,1.874897,1.863448,5.093358,7.745921,0.438625,0.440939,0.88843,0.931048,,,,
enh/metricgan/medium/data/raw/2025/09/08/4ef2d5461face4166f7b4fb9c086055f5254a93460e5c87b5d4994d0680664fd__250714_1632_01.wav,metricgan,medium,prep/data/raw/2025/09/08/4ef2d5461face4166f7b4fb9c086055f5254a93460e5c87b5d4994d0680664fd__250714_1632_01.wav,44100,44100,79.124898,79.124943,-1.0,-0.926,0.074,-21.932,-22.08,-0.148,0.0,0.0,0.0,11.133449,11.421107,0.287658,0.000404,0.000246,-0.000158,845.719,839.124,-6.595,-21.275,-21.34,-0.065,7.913191,8.870062,0.956871,,,,,,,,,,,,,,,,,,,,0.717535,0.700101,-0.017434,26,22,0.153304,0.107837,1.387169,1.499411,3.6167,3.460207,0.249844,0.319286,1.007186,1.27432,,,,
enh/metricgan/medium/data/raw/2025/09/08/52701f4fa2514351bde702af10f7d8b4f8ea12bae519d4cdbbf9b18df92e3c2b__250820_1952.wav,metricgan,medium,prep/data/raw/2025/09/08/52701f4fa2514351bde702af10f7d8b4f8ea12bae519d4cdbbf9b18df92e3c2b__250820_1952.wav,44100,44100,172.225306,172.225329,-1.0,-0.942,0.058,-22.024,-21.993,0.031,0.0,0.0,0.0,11.250905,11.286246,0.035341,0.000903,0.000825,-7.8e-05,1009.972,963.802,-46.17,-20.671,-20.594,0.077,9.283889,10.075518,0.791629,,,,,,,,,,,,,,,,,,,,0.673812,0.660161,-0.013651,37,23,0.105562,0.069484,1.597532,1.615819,5.065674,6.890231,0.121247,0.239705,1.709323,1.696603,,,,
enh/metricgan/medium/data/raw/2025/09/08/5722f1647c30d67d5f7c6bbe9221f671fd0f12ca0ae75bc4ef99a2158d29a1d0__250820_1540.wav,metricgan,medium,prep/data/raw/2025/09/08/5722f1647c30d67d5f7c6bbe9221f671fd0f12ca0ae75bc4ef99a2158d29a1d0__250820_1540.wav,44100,44100,23.183061,23.183084,-1.0,-0.935,0.065,-20.133,-19.412,0.721,0.0,0.0,0.0,9.049951,8.391372,-0.658579,0.00067,0.000475,-0.000195,781.555,764.243,-17.312,-19.36,-18.535,0.825,10.740368,11.850493,1.110125,,,,,,,,,,,,,,,,,,,,0.739984,0.695044,-0.04494,10,6,0.165533,0.158889,1.257977,1.653292,2.727446,3.471944,0.101375,0.296025,0.777966,0.625461,,,,
enh/metricgan/medium/data/raw/2025/09/08/5c2ad6043a903ee4989b70da850e6de75204c1c2c1e9ab9d595f812f2779a95f__250728_0914.wav,metricgan,medium,prep/data/raw/2025/09/08/5c2ad6043a903ee4989b70da850e6de75204c1c2c1e9ab9d595f812f2779a95f__250728_0914.wav,44100,44100,178.413265,178.413333,-1.0,-0.886,0.114,-19.605,-19.696,-0.091,0.0,0.0,0.0,8.51581,8.720273,0.204463,0.001277,0.000686,-0.000591,939.309,825.108,-114.201,-18.27,-18.236,0.034,11.273021,11.617027,0.344006,,,,,,,,,,,,,,,,,,,,0.720632,0.694047,-0.026585,40,19,0.118186,0.09923,1.553153,1.712278,4.614707,7.730512,0.145435,0.227984,1.643631,1.707706,,,,
enh/metricgan/medium/data/raw/2025/09/08/5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,metricgan,medium,prep/data/raw/2025/09/08/5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,44100,44100,7.590816,7.590884,-1.0,-0.942,0.058,-20.663,-19.715,0.948,0.0,0.0,0.0,9.619305,8.683122,-0.936183,0.000324,0.000247,-7.7e-05,896.465,878.562,-17.903,-19.475,-18.583,0.892,6.962475,7.878045,0.91557,,,,,,,,,,,,,,,,,,,,0.692212,0.679913,-0.012299,4,5,0.279068,0.155011,0.984013,0.830123,2.88415,2.259434,0.266687,0.22951,0.484322,0.647884,,,,
