path,sha256,duration_s,sample_rate,channels,bitrate,size_bytes,source,drive_file_id,created_at
data/raw/2025/09/08/c68976736d2e914f499af55bdd1d3ccece530051225422c30ba9044585a1aff9__250820_1541.mp3,c68976736d2e914f499af55bdd1d3ccece530051225422c30ba9044585a1aff9,20.662875,44100,2,129585,334702,drive,1MjD52R7LK_eQsjcKb7fSDGfKC57sehvx,2025-09-08T05:07:29Z
data/raw/2025/09/08/f7fd19d194b94c26b87b4d2dccbedd556d19897f4c87879df8a7070d790e4b2a__250820_1540_01.mp3,f7fd19d194b94c26b87b4d2dccbedd556d19897f4c87879df8a7070d790e4b2a,28.917563,44100,2,129133,466777,drive,115HDdAA8kX9H8z4AuqhiaQdFytORU359,2025-09-08T05:07:31Z
data/raw/2025/09/08/5722f1647c30d67d5f7c6bbe9221f671fd0f12ca0ae75bc4ef99a2158d29a1d0__250820_1540.mp3,5722f1647c30d67d5f7c6bbe9221f671fd0f12ca0ae75bc4ef99a2158d29a1d0,23.693063,44100,2,129383,383185,drive,1kWltJqeqcctGH0zcbj7qlejv0R-bIeAj,2025-09-08T05:07:32Z
data/raw/2025/09/08/3093e92265c9c5f99aa937e8e172f229d645c855a9308077d196ff6df6d086ea__250820_1539.mp3,3093e92265c9c5f99aa937e8e172f229d645c855a9308077d196ff6df6d086ea,15.647375,44100,2,130094,254454,drive,1d3clhMAd8JFKk0zYCocgJeTuyUCs6IEd,2025-09-08T05:07:34Z
data/raw/2025/09/08/861f81ada6fdb0ab6e56ba910b291eb680ddda84209778cc755e4edd8414bb30__250816_1803.mp3,861f81ada6fdb0ab6e56ba910b291eb680ddda84209778cc755e4edd8414bb30,11.6245,44100,2,130818,190088,drive,1t4hF23wgaFRbUTZUO9FuCJpbqbVwC9hQ,2025-09-08T05:07:35Z
data/raw/2025/09/08/9ecfcb28b7f4114c15be6ecb4e3cc92a3f1d447a8c7bf46a75d519113583eaf3__250805_1417.mp3,9ecfcb28b7f4114c15be6ecb4e3cc92a3f1d447a8c7bf46a75d519113583eaf3,168.411438,44100,2,128194,2698679,drive,1trCmwKulnA0A3ew6QvjmY0ouvhCYEY6u,2025-09-08T05:07:37Z
data/raw/2025/09/08/26b514c690c6e87e899308505339df2ae59dd593e0286d7b705fc9daca9767a5__250805_1413.mp3,26b514c690c6e87e899308505339df2ae59dd593e0286d7b705fc9daca9767a5,238.55025,44100,2,128137,3820900,drive,1TEfRTX1I9hPPIBN0wfnsPEvJIOyUAzKq,2025-09-08T05:07:39Z
data/raw/2025/09/08/3a4024ddabde86625bde8f22a7edd29412602a5767ef7f57bc9ba28a48ba5059__250805_1411.mp3,3a4024ddabde86625bde8f22a7edd29412602a5767ef7f57bc9ba28a48ba5059,104.803313,44100,2,128312,1680949,drive,1hvBVsLLxLRsKUuHf9YnxvM0fu-V21jgr,2025-09-08T05:07:41Z
data/raw/2025/09/08/072ff6bbce11674348eacd0547b155a5699af26be74472800e3e79bf4c8708fe__250805_1410.mp3,072ff6bbce11674348eacd0547b155a5699af26be74472800e3e79bf4c8708fe,70.5045,44100,2,128464,1132168,drive,1lbIE_1k7ZvdkHhNMgo7yAXTkphqJ1ll8,2025-09-08T05:07:43Z
data/raw/2025/09/08/997ef4d89f963fca36b010dbb74d67309bed3b8e4c9765026fe21f1bf97d5eec__250805_1408.mp3,997ef4d89f963fca36b010dbb74d67309bed3b8e4c9765026fe21f1bf97d5eec,82.338,44100,2,128397,1321504,drive,1jrIuQoYVW0d5EPGNPwlWA7lB3GVtXg7M,2025-09-08T05:07:45Z
