backend,preset,rel,ref_path,out_path,sr_ref,sr_out,dur_ref_s,dur_out_s,stoi,srmr,lufs,clip_rate,rtf
metricgan,medium,data/raw/2025/09/08/5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.mp3,dataset-audio-raw\prep\data\raw\2025\09\08\5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,dataset-audio-raw\enh\metricgan\medium\data\raw\2025\09\08\5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,44100,44100,7.591,7.591,0.9481,,-18.58,0.0,
metricgan,medium,data/raw/2025/09/08/df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.mp3,dataset-audio-raw\prep\data\raw\2025\09\08\df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.wav,dataset-audio-raw\enh\metricgan\medium\data\raw\2025\09\08\df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.wav,44100,44100,9.221,9.221,0.9164,,-19.26,0.0,
resemble_enhance_stub,medium,data/raw/2025/09/08/df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.mp3,dataset-audio-raw\prep\data\raw\2025\09\08\df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.wav,dataset-audio-raw\enh\resemble_enhance_stub\medium\data\raw\2025\09\08\df5c7a3423dd07c7c527615359dcf78149587b1be39ec227e9a058012ed33c35__250714_1629.wav,44100,44100,9.221,9.221,0.9953,,-36.25,0.0,
resemble_enhance_stub,medium,data/raw/2025/09/08/5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.mp3,dataset-audio-raw\prep\data\raw\2025\09\08\5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,dataset-audio-raw\enh\resemble_enhance_stub\medium\data\raw\2025\09\08\5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,44100,44100,7.591,7.591,0.9934,,-34.5,0.0,
