backend,preset,n,stoi_mean,stoi_p10,lufs_mean,clip_rate_mean,clip_any,rtf_mean,dur_sum_s
resemble_enhance_stub,medium,2,0.99435,0.99359,-35.375,0.0,0.0,,16.812
metricgan,medium,2,0.93225,0.91957,-18.92,0.0,0.0,,16.812
